cross_section,eta_ch,Ti_init,tau_E_s,tau_ie_s,G,max_inst_Pfus_Pbrems,transient_window_s
wang,0.0,527,0.1701,2.564,0.00488,2.567,0.287
wang,0.0,527,0.3455,2.564,0.00948,2.567,0.557
wang,0.0,527,0.7017,2.564,0.01811,2.567,1.073
wang,0.0,527,1.4251,2.564,0.03380,2.567,2.052
wang,0.0,527,2.8943,2.564,0.06113,2.567,3.889
wang,0.0,527,5.8780,2.564,0.10521,2.567,7.232
wang,0.0,527,11.9378,2.564,0.16710,2.567,12.833
wang,0.0,527,24.2446,2.564,0.23606,2.567,20.778
wang,0.0,527,49.2388,2.564,0.29329,2.567,29.514
wang,0.0,527,100.0000,2.564,0.32995,2.567,36.767
wang,0.0,582,0.0100,2.963,0.00031,2.729,0.020
wang,0.0,582,0.0203,2.963,0.00062,2.699,0.039
wang,0.0,582,0.0412,2.963,0.00124,2.647,0.078
wang,0.0,582,0.0838,2.963,0.00246,2.572,0.154
wang,0.0,582,0.1701,2.963,0.00486,2.502,0.303
wang,0.0,582,0.3455,2.963,0.00946,2.502,0.591
wang,0.0,582,0.7017,2.963,0.01811,2.502,1.142
wang,0.0,582,1.4251,2.963,0.03391,2.502,2.192
wang,0.0,582,2.8943,2.963,0.06150,2.502,4.173
wang,0.0,582,5.8780,2.963,0.10590,2.502,7.793
wang,0.0,582,11.9378,2.963,0.16750,2.502,13.861
wang,0.0,582,24.2446,2.963,0.23435,2.502,22.402
wang,0.0,582,49.2388,2.963,0.28794,2.502,31.641
wang,0.0,582,100.0000,2.963,0.32137,2.502,39.194
wang,0.0,636,0.0100,3.379,0.00030,2.726,0.020
wang,0.0,636,0.0203,3.379,0.00061,2.693,0.041
wang,0.0,636,0.0412,3.379,0.00122,2.636,0.082
wang,0.0,636,0.0838,3.379,0.00244,2.550,0.162
wang,0.0,636,0.1701,3.379,0.00482,2.451,0.319
wang,0.0,636,0.3455,3.379,0.00940,2.442,0.622
wang,0.0,636,0.7017,3.379,0.01803,2.442,1.205
wang,0.0,636,1.4251,3.379,0.03384,2.442,2.320
wang,0.0,636,2.8943,3.379,0.06147,2.442,4.431
wang,0.0,636,5.8780,3.379,0.10581,2.442,8.300
wang,0.0,636,11.9378,3.379,0.16655,2.442,14.777
wang,0.0,636,24.2446,3.379,0.23089,2.442,23.818
wang,0.0,636,49.2388,3.379,0.28105,2.442,33.463
wang,0.0,636,100.0000,3.379,0.31173,2.442,41.262
wang,0.0,691,0.0100,3.810,0.00030,2.723,0.021
wang,0.0,691,0.0203,3.810,0.00060,2.688,0.043
wang,0.0,691,0.0412,3.810,0.00121,2.627,0.085
wang,0.0,691,0.0838,3.810,0.00241,2.533,0.169
wang,0.0,691,0.1701,3.810,0.00477,2.416,0.332
wang,0.0,691,0.3455,3.810,0.00931,2.384,0.650
wang,0.0,691,0.7017,3.810,0.01790,2.384,1.262
wang,0.0,691,1.4251,3.810,0.03366,2.384,2.437
wang,0.0,691,2.8943,3.810,0.06119,2.384,4.668
wang,0.0,691,5.8780,3.810,0.10521,2.384,8.761
wang,0.0,691,11.9378,3.810,0.16477,2.384,15.602
wang,0.0,691,24.2446,3.810,0.22650,2.384,25.071
wang,0.0,691,49.2388,3.810,0.27354,2.384,35.059
wang,0.0,691,100.0000,3.810,0.30188,2.384,43.071
wang,0.0,745,0.0100,4.257,0.00029,2.721,0.022
