cross_section,eta_ch,Ti_init,tau_E_s,tau_ie_s,G,max_inst_Pfus_Pbrems,transient_window_s
wang,0.3,582,0.7017,2.963,0.01814,2.502,1.143
wang,0.3,582,1.4251,2.963,0.03400,2.502,2.197
wang,0.3,582,2.8943,2.963,0.06175,2.502,4.187
wang,0.3,582,5.8780,2.963,0.10654,2.502,7.832
wang,0.3,582,11.9378,2.963,0.16880,2.502,13.963
wang,0.3,582,24.2446,2.963,0.23636,2.502,22.621
wang,0.3,582,49.2388,2.963,0.29030,2.502,31.996
wang,0.3,582,100.0000,2.963,0.32378,2.502,39.651
wang,0.3,636,0.0100,3.379,0.00030,2.726,0.020
wang,0.3,636,0.0203,3.379,0.00061,2.693,0.041
wang,0.3,636,0.0412,3.379,0.00122,2.637,0.082
wang,0.3,636,0.0838,3.379,0.00244,2.552,0.162
wang,0.3,636,0.1701,3.379,0.00482,2.453,0.319
wang,0.3,636,0.3455,3.379,0.00941,2.442,0.622
wang,0.3,636,0.7017,3.379,0.01806,2.442,1.206
wang,0.3,636,1.4251,3.379,0.03393,2.442,2.324
wang,0.3,636,2.8943,3.379,0.06171,2.442,4.445
wang,0.3,636,5.8780,3.379,0.10641,2.442,8.339
wang,0.3,636,11.9378,3.379,0.16775,2.442,14.880
wang,0.3,636,24.2446,3.379,0.23267,2.442,24.034
wang,0.3,636,49.2388,3.379,0.28308,2.442,33.804
wang,0.3,636,100.0000,3.379,0.31377,2.442,41.695
wang,0.3,691,0.0100,3.810,0.00030,2.724,0.021
wang,0.3,691,0.0203,3.810,0.00060,2.689,0.043
wang,0.3,691,0.0412,3.810,0.00121,2.628,0.085
wang,0.3,691,0.0838,3.810,0.00241,2.535,0.169
wang,0.3,691,0.1701,3.810,0.00477,2.418,0.333
wang,0.3,691,0.3455,3.810,0.00932,2.384,0.650
wang,0.3,691,0.7017,3.810,0.01793,2.384,1.264
wang,0.3,691,1.4251,3.810,0.03374,2.384,2.442
wang,0.3,691,2.8943,3.810,0.06142,2.384,4.682
wang,0.3,691,5.8780,3.810,0.10578,2.384,8.802
wang,0.3,691,11.9378,3.810,0.16587,2.384,15.705
wang,0.3,691,24.2446,3.810,0.22809,2.384,25.283
wang,0.3,691,49.2388,3.810,0.27531,2.384,35.386
wang,0.3,691,100.0000,3.810,0.30363,2.384,43.483
wang,0.3,745,0.0100,4.257,0.00029,2.722,0.022
wang,0.3,745,0.0203,4.257,0.00059,2.685,0.044
wang,0.3,745,0.0412,4.257,0.00119,2.621,0.088
wang,0.3,745,0.0838,4.257,0.00238,2.522,0.175
wang,0.3,745,0.1701,4.257,0.00472,2.393,0.345
wang,0.3,745,0.3455,4.257,0.00922,2.329,0.677
wang,0.3,745,0.7017,4.257,0.01776,2.329,1.317
wang,0.3,745,1.4251,4.257,0.03347,2.329,2.550
wang,0.3,745,2.8943,4.257,0.06096,2.329,4.900
wang,0.3,745,5.8780,4.257,0.10481,2.329,9.226
wang,0.3,745,11.9378,4.257,0.16350,2.329,16.454
wang,0.3,745,24.2446,4.257,0.22308,2.329,26.401
wang,0.3,745,49.2388,4.257,0.26743,2.329,36.795
wang,0.3,745,100.0000,4.257,0.29374,2.329,45.079
wang,0.3,800,0.0100,4.716,0.00029,2.720,0.023
wang,0.3,800,0.0203,4.716,0.00059,2.681,0.046
wang,0.3,800,0.0412,4.716,0.00118,2.615,0.091
wang,0.3,800,0.0838,4.716,0.00235,2.511,0.181
wang,0.3,800,0.1701,4.716,0.00466,2.373,0.357
wang,0.3,800,0.3455,4.716,0.00912,2.275,0.701
wang,0.3,800,0.7017,4.716,0.01758,2.275,1.367
wang,0.3,800,1.4251,4.716,0.03315,2.275,2.651
wang,0.3,800,2.8943,4.716,0.06039,2.275,5.103
wang,0.3,800,5.8780,4.716,0.10363,2.275,9.617
wang,0.3,800,11.9378,4.716,0.16083,2.275,17.138
wang,0.3,800,24.2446,4.716,0.21789,2.275,27.412
wang,0.3,800,49.2388,4.716,0.25969,2.275,38.066
wang,0.3,800,100.0000,4.716,0.28424,2.275,46.525
TB,0.3,200,0.0100,0.608,0.00025,2.824,0.009
TB,0.3,200,0.0203,0.608,0.00051,2.824,0.018
TB,0.3,200,0.0412,0.608,0.00101,2.824,0.035
TB,0.3,200,0.0838,0.608,0.00196,2.824,0.067
TB,0.3,200,0.1701,0.608,0.00373,2.824,0.126
TB,0.3,200,0.3455,0.608,0.00691,2.824,0.234
TB,0.3,200,0.7017,0.608,0.01239,2.824,0.421
TB,0.3,200,1.4251,0.608,0.02134,2.824,0.739
TB,0.3,200,2.8943,0.608,0.03502,2.824,1.251
TB,0.3,200,5.8780,0.608,0.05409,2.824,2.028
TB,0.3,200,11.9378,0.608,0.07765,2.824,3.096
TB,0.3,200,24.2446,0.608,0.10236,2.824,4.349
TB,0.3,200,49.2388,0.608,0.12371,2.824,5.535
TB,0.3,200,100.0000,0.608,0.13898,2.824,6.437
TB,0.3,255,0.0100,0.871,0.00031,3.207,0.011
TB,0.3,255,0.0203,0.871,0.00062,3.207,0.022
TB,0.3,255,0.0412,0.871,0.00124,3.207,0.044
TB,0.3,255,0.0838,0.871,0.00243,3.207,0.086
TB,0.3,255,0.1701,0.871,0.00468,3.207,0.165
TB,0.3,255,0.3455,0.871,0.00885,3.207,0.312
TB,0.3,255,0.7017,0.871,0.01627,3.207,0.579
TB,0.3,255,1.4251,0.871,0.02900,3.207,1.054
TB,0.3,255,2.8943,0.871,0.04968,3.207,1.879
TB,0.3,255,5.8780,0.871,0.08105,3.207,3.262
TB,0.3,255,11.9378,0.871,0.12395,3.207,5.409
TB,0.3,255,24.2446,0.871,0.17457,3.207,8.290
TB,0.3,255,49.2388,0.871,0.22392,3.207,11.448
TB,0.3,255,100.0000,0.871,0.26316,3.207,14.227
TB,0.3,309,0.0100,1.163,0.00034,3.326,0.013
TB,0.3,309,0.0203,1.163,0.00069,3.326,0.026
TB,0.3,309,0.0412,1.163,0.00137,3.326,0.052
TB,0.3,309,0.0838,1.163,0.00271,3.326,0.102
TB,0.3,309,0.1701,1.163,0.00526,3.326,0.198
TB,0.3,309,0.3455,1.163,0.01004,3.326,0.377
TB,0.3,309,0.7017,1.163,0.01875,3.326,0.710
TB,0.3,309,1.4251,1.163,0.03407,3.326,1.321
TB,0.3,309,2.8943,1.163,0.05988,3.326,2.426
TB,0.3,309,5.8780,1.163,0.10077,3.326,4.378
TB,0.3,309,11.9378,1.163,0.15961,3.326,7.612
TB,0.3,309,24.2446,1.163,0.23250,3.326,12.341
TB,0.3,309,49.2388,1.163,0.30545,3.326,18.073
TB,0.3,309,100.0000,1.163,0.36255,3.326,23.546
TB,0.3,364,0.0100,1.480,0.00036,3.321,0.015
TB,0.3,364,0.0203,1.480,0.00072,3.315,0.030
TB,0.3,364,0.0412,1.480,0.00144,3.311,0.059
TB,0.3,364,0.0838,1.480,0.00286,3.311,0.116
TB,0.3,364,0.1701,1.480,0.00558,3.311,0.225
TB,0.3,364,0.3455,1.480,0.01074,3.311,0.432
TB,0.3,364,0.7017,1.480,0.02024,3.311,0.822
TB,0.3,364,1.4251,1.480,0.03723,3.311,1.551
TB,0.3,364,2.8943,1.480,0.06644,3.311,2.900
TB,0.3,364,5.8780,1.480,0.11369,3.311,5.355
TB,0.3,364,11.9378,1.480,0.18268,3.311,9.567
TB,0.3,364,24.2446,1.480,0.26694,3.311,15.940
TB,0.3,364,49.2388,1.480,0.34540,3.311,23.698
TB,0.3,364,100.0000,1.480,0.39962,3.311,30.733
TB,0.3,418,0.0100,1.821,0.00037,3.310,0.016
TB,0.3,418,0.0203,1.821,0.00074,3.291,0.032
TB,0.3,418,0.0412,1.821,0.00148,3.263,0.065
TB,0.3,418,0.0838,1.821,0.00293,3.236,0.127
TB,0.3,418,0.1701,1.821,0.00575,3.236,0.248
TB,0.3,418,0.3455,1.821,0.01111,3.236,0.480
TB,0.3,418,0.7017,1.821,0.02107,3.236,0.920
TB,0.3,418,1.4251,1.821,0.03908,3.236,1.750
TB,0.3,418,2.8943,1.821,0.07039,3.236,3.313
TB,0.3,418,5.8780,1.821,0.12143,3.236,6.203
TB,0.3,418,11.9378,1.821,0.19543,3.236,11.238
TB,0.3,418,24.2446,1.821,0.28187,3.236,18.850
TB,0.3,418,49.2388,1.821,0.35528,3.236,27.742
TB,0.3,418,100.0000,1.821,0.40121,3.236,35.302
TB,0.3,473,0.0100,2.183,0.00037,3.301,0.017
TB,0.3,473,0.0203,2.183,0.00074,3.274,0.035
TB,0.3,473,0.0412,2.183,0.00149,3.230,0.070
TB,0.3,473,0.0838,2.183,0.00296,3.169,0.137
TB,0.3,473,0.1701,2.183,0.00581,3.137,0.269
TB,0.3,473,0.3455,2.183,0.01127,3.137,0.522
TB,0.3,473,0.7017,2.183,0.02148,3.137,1.005
TB,0.3,473,1.4251,2.183,0.04007,3.137,1.926
TB,0.3,473,2.8943,2.183,0.07257,3.137,3.676
TB,0.3,473,5.8780,2.183,0.12558,3.137,6.943
TB,0.3,473,11.9378,2.183,0.20114,3.137,12.655
TB,0.3,473,24.2446,2.183,0.28509,3.137,21.151
TB,0.3,473,49.2388,2.183,0.35131,3.137,30.667
TB,0.3,473,100.0000,2.183,0.39049,3.137,38.443
TB,0.3,527,0.0100,2.564,0.00037,3.295,0.019
TB,0.3,527,0.0203,2.564,0.00074,3.262,0.037
TB,0.3,527,0.0412,2.564,0.00148,3.206,0.074
TB,0.3,527,0.0838,2.564,0.00295,3.123,0.146
TB,0.3,527,0.1701,2.564,0.00582,3.037,0.287
TB,0.3,527,0.3455,2.564,0.01131,3.032,0.559
TB,0.3,527,0.7017,2.564,0.02163,3.032,1.082
TB,0.3,527,1.4251,2.564,0.04050,3.032,2.084
TB,0.3,527,2.8943,2.564,0.07358,3.032,3.999
TB,0.3,527,5.8780,2.564,0.12735,3.032,7.593
TB,0.3,527,11.9378,2.564,0.20245,3.032,13.863
TB,0.3,527,24.2446,2.564,0.28218,3.032,23.007
TB,0.3,527,49.2388,2.564,0.34182,3.032,32.918
TB,0.3,527,100.0000,2.564,0.37603,3.032,40.837
TB,0.3,582,0.0100,2.963,0.00036,3.290,0.020
TB,0.3,582,0.0203,2.963,0.00073,3.253,0.039
TB,0.3,582,0.0412,2.963,0.00147,3.188,0.078
TB,0.3,582,0.0838,2.963,0.00293,3.090,0.155
TB,0.3,582,0.1701,2.963,0.00578,2.968,0.304
TB,0.3,582,0.3455,2.963,0.01127,2.928,0.593
TB,0.3,582,0.7017,2.963,0.02160,2.928,1.151
TB,0.3,582,1.4251,2.963,0.04056,2.928,2.225
TB,0.3,582,2.8943,2.963,0.07382,2.928,4.289
TB,0.3,582,5.8780,2.963,0.12757,2.928,8.170
TB,0.3,582,11.9378,2.963,0.20112,2.928,14.907
TB,0.3,582,24.2446,2.963,0.27626,2.928,24.547
TB,0.3,582,49.2388,2.963,0.33036,2.928,34.749
TB,0.3,582,100.0000,2.963,0.36083,2.928,42.797
TB,0.3,636,0.0100,3.379,0.00036,3.286,0.020
TB,0.3,636,0.0203,3.379,0.00072,3.245,0.041
TB,0.3,636,0.0412,3.379,0.00145,3.175,0.082
TB,0.3,636,0.0838,3.379,0.00290,3.065,0.162
TB,0.3,636,0.1701,3.379,0.00572,2.920,0.319
TB,0.3,636,0.3455,3.379,0.01117,2.826,0.624
TB,0.3,636,0.7017,3.379,0.02146,2.826,1.214
TB,0.3,636,1.4251,3.379,0.04037,2.826,2.354
TB,0.3,636,2.8943,3.379,0.07355,2.826,4.552
TB,0.3,636,5.8780,3.379,0.12681,2.826,8.687
TB,0.3,636,11.9378,3.379,0.19827,2.826,15.822
TB,0.3,636,24.2446,3.379,0.26896,2.826,25.861
TB,0.3,636,49.2388,3.379,0.31845,2.826,36.302
TB,0.3,636,100.0000,3.379,0.34599,2.826,44.477
TB,0.3,691,0.0100,3.810,0.00035,3.283,0.021
TB,0.3,691,0.0203,3.810,0.00071,3.240,0.043
TB,0.3,691,0.0412,3.810,0.00143,3.164,0.085
TB,0.3,691,0.0838,3.810,0.00286,3.046,0.169
TB,0.3,691,0.1701,3.810,0.00565,2.885,0.333
TB,0.3,691,0.3455,3.810,0.01104,2.730,0.653
TB,0.3,691,0.7017,3.810,0.02125,2.728,1.272
TB,0.3,691,1.4251,3.810,0.04003,2.728,2.473
TB,0.3,691,2.8943,3.810,0.07295,2.728,4.792
TB,0.3,691,5.8780,3.810,0.12542,2.728,9.155
TB,0.3,691,11.9378,3.810,0.19456,2.728,16.633
TB,0.3,691,24.2446,3.810,0.26112,2.728,27.007
TB,0.3,691,49.2388,3.810,0.30675,2.728,37.659
TB,0.3,691,100.0000,3.810,0.33193,2.728,45.962
TB,0.3,745,0.0100,4.257,0.00035,3.281,0.022
TB,0.3,745,0.0203,4.257,0.00070,3.235,0.044
TB,0.3,745,0.0412,4.257,0.00141,3.155,0.088
TB,0.3,745,0.0838,4.257,0.00281,3.030,0.175
TB,0.3,745,0.1701,4.257,0.00557,2.857,0.346
TB,0.3,745,0.3455,4.257,0.01090,2.664,0.679
TB,0.3,745,0.7017,4.257,0.02099,2.634,1.326
TB,0.3,745,1.4251,4.257,0.03959,2.634,2.582
TB,0.3,745,2.8943,4.257,0.07212,2.634,5.012
TB,0.3,745,5.8780,4.257,0.12363,2.634,9.582
TB,0.3,745,11.9378,4.257,0.19038,2.634,17.362
TB,0.3,745,24.2446,4.257,0.25319,2.634,28.025
TB,0.3,745,49.2388,4.257,0.29553,2.634,38.870
TB,0.3,745,100.0000,4.257,0.31875,2.634,47.301
TB,0.3,800,0.0100,4.716,0.00034,3.279,0.023
TB,0.3,800,0.0203,4.716,0.00069,3.231,0.046
TB,0.3,800,0.0412,4.716,0.00139,3.148,0.091
TB,0.3,800,0.0838,4.716,0.00277,3.018,0.181
TB,0.3,800,0.1701,4.716,0.00548,2.836,0.358
TB,0.3,800,0.3455,4.716,0.01074,2.621,0.703
TB,0.3,800,0.7017,4.716,0.02071,2.542,1.375
TB,0.3,800,1.4251,4.716,0.03907,2.542,2.683
TB,0.3,800,2.8943,4.716,0.07116,2.542,5.216
TB,0.3,800,5.8780,4.716,0.12160,2.542,9.973
TB,0.3,800,11.9378,4.716,0.18599,2.542,18.023
TB,0.3,800,24.2446,4.716,0.24540,2.542,28.941
TB,0.3,800,49.2388,4.716,0.28491,2.542,39.967
TB,0.3,800,100.0000,4.716,0.30646,2.542,48.529
