cross_section,n_alpha_over_ne,F_scale,p,peak_PF_PB,peak_Ti_keV,ignition
wang,0.07207,1.6379,0.11804,1.77070,140.0,1
wang,0.07517,1.6379,0.12313,1.79714,140.0,1
wang,0.07828,1.6379,0.12821,1.81835,140.0,1
wang,0.08138,1.6379,0.13329,1.83902,140.0,1
wang,0.08448,1.6379,0.13838,1.85968,140.0,1
wang,0.08759,1.6379,0.14346,1.88034,140.0,1
wang,0.09069,1.6379,0.14854,1.89775,140.0,1
wang,0.09379,1.6379,0.15363,1.91358,140.0,1
wang,0.09690,1.6379,0.15871,1.92942,140.0,1
wang,0.10000,1.6379,0.16379,1.94526,140.0,1
wang,0.01000,1.6897,0.01690,1.01908,300.0,1
wang,0.01310,1.6897,0.02214,1.05152,300.0,1
wang,0.01621,1.6897,0.02738,1.08481,260.0,1
wang,0.01931,1.6897,0.03263,1.11993,260.0,1
wang,0.02241,1.6897,0.03787,1.15944,220.0,1
wang,0.02552,1.6897,0.04312,1.19879,220.0,1
wang,0.02862,1.6897,0.04836,1.24316,180.0,1
wang,0.03172,1.6897,0.05360,1.28945,180.0,1
wang,0.03483,1.6897,0.05885,1.33228,180.0,1
wang,0.03793,1.6897,0.06409,1.37994,140.0,1
wang,0.04103,1.6897,0.06933,1.43079,140.0,1
wang,0.04414,1.6897,0.07458,1.48019,140.0,1
wang,0.04724,1.6897,0.07982,1.52452,140.0,1
wang,0.05034,1.6897,0.08507,1.56614,140.0,1
wang,0.05345,1.6897,0.09031,1.60687,140.0,1
wang,0.05655,1.6897,0.09555,1.64099,140.0,1
wang,0.05966,1.6897,0.10080,1.67512,140.0,1
wang,0.06276,1.6897,0.10604,1.70827,140.0,1
wang,0.06586,1.6897,0.11128,1.73554,140.0,1
wang,0.06897,1.6897,0.11653,1.76282,140.0,1
wang,0.07207,1.6897,0.12177,1.79009,140.0,1
wang,0.07517,1.6897,0.12702,1.81350,140.0,1
wang,0.07828,1.6897,0.13226,1.83481,140.0,1
wang,0.08138,1.6897,0.13750,1.85612,140.0,1
wang,0.08448,1.6897,0.14275,1.87744,140.0,1
wang,0.08759,1.6897,0.14799,1.89602,140.0,1
wang,0.09069,1.6897,0.15323,1.91236,140.0,1
wang,0.09379,1.6897,0.15848,1.92870,140.0,1
wang,0.09690,1.6897,0.16372,1.94504,140.0,1
wang,0.10000,1.6897,0.16897,1.96137,140.0,1
wang,0.01000,1.7414,0.01741,1.02243,300.0,1
wang,0.01310,1.7414,0.02282,1.05548,300.0,1
wang,0.01621,1.7414,0.02822,1.09071,260.0,1
wang,0.01931,1.7414,0.03363,1.12644,260.0,1
wang,0.02241,1.7414,0.03903,1.16861,220.0,1
wang,0.02552,1.7414,0.04444,1.20826,220.0,1
wang,0.02862,1.7414,0.04984,1.25623,180.0,1
wang,0.03172,1.7414,0.05524,1.30394,180.0,1
wang,0.03483,1.7414,0.06065,1.34635,180.0,1
wang,0.03793,1.7414,0.06605,1.39987,140.0,1
wang,0.04103,1.7414,0.07146,1.45079,140.0,1
wang,0.04414,1.7414,0.07686,1.50102,140.0,1
wang,0.04724,1.7414,0.08227,1.54391,140.0,1
wang,0.05034,1.7414,0.08767,1.58680,140.0,1
wang,0.05345,1.7414,0.09307,1.62486,140.0,1
wang,0.05655,1.7414,0.09848,1.66003,140.0,1
wang,0.05966,1.7414,0.10388,1.69519,140.0,1
wang,0.06276,1.7414,0.10929,1.72515,140.0,1
wang,0.06586,1.7414,0.11469,1.75326,140.0,1
wang,0.06897,1.7414,0.12010,1.78137,140.0,1
wang,0.07207,1.7414,0.12550,1.80734,140.0,1
wang,0.07517,1.7414,0.13090,1.82930,140.0,1
wang,0.07828,1.7414,0.13631,1.85127,140.0,1
wang,0.08138,1.7414,0.14171,1.87323,140.0,1
wang,0.08448,1.7414,0.14712,1.89330,140.0,1
wang,0.08759,1.7414,0.15252,1.91014,140.0,1
wang,0.09069,1.7414,0.15793,1.92698,140.0,1
wang,0.09379,1.7414,0.16333,1.94381,140.0,1
wang,0.09690,1.7414,0.16873,1.96065,140.0,1
wang,0.10000,1.7414,0.17414,1.97460,140.0,1
wang,0.01000,1.7931,0.01793,1.02579,300.0,1
wang,0.01310,1.7931,0.02350,1.05944,300.0,1
wang,0.01621,1.7931,0.02906,1.09660,260.0,1
wang,0.01931,1.7931,0.03463,1.13377,220.0,1
wang,0.02241,1.7931,0.04019,1.17778,220.0,1
wang,0.02552,1.7931,0.04576,1.21875,180.0,1
wang,0.02862,1.7931,0.05132,1.26930,180.0,1
wang,0.03172,1.7931,0.05688,1.31695,180.0,1
wang,0.03483,1.7931,0.06245,1.36209,140.0,1
wang,0.03793,1.7931,0.06801,1.41835,140.0,1
wang,0.04103,1.7931,0.07358,1.47078,140.0,1
wang,0.04414,1.7931,0.07914,1.51914,140.0,1
wang,0.04724,1.7931,0.08471,1.56330,140.0,1
wang,0.05034,1.7931,0.09027,1.60664,140.0,1
wang,0.05345,1.7931,0.09584,1.64285,140.0,1
wang,0.05655,1.7931,0.10140,1.67906,140.0,1
wang,0.05966,1.7931,0.10697,1.71309,140.0,1
wang,0.06276,1.7931,0.11253,1.74203,140.0,1
wang,0.06586,1.7931,0.11810,1.77098,140.0,1
wang,0.06897,1.7931,0.12366,1.79987,140.0,1
wang,0.07207,1.7931,0.12923,1.82249,140.0,1
wang,0.07517,1.7931,0.13479,1.84511,140.0,1
wang,0.07828,1.7931,0.14036,1.86772,140.0,1
wang,0.08138,1.7931,0.14592,1.88958,140.0,1
wang,0.08448,1.7931,0.15149,1.90692,140.0,1
wang,0.08759,1.7931,0.15705,1.92425,140.0,1
wang,0.09069,1.7931,0.16262,1.94159,140.0,1
wang,0.09379,1.7931,0.16818,1.95893,140.0,1
wang,0.09690,1.7931,0.17375,1.97368,140.0,1
wang,0.10000,1.7931,0.17931,1.98676,140.0,1
wang,0.01000,1.8448,0.01845,1.02902,300.0,1
wang,0.01310,1.8448,0.02417,1.06340,300.0,1
wang,0.01621,1.8448,0.02990,1.10213,260.0,1
wang,0.01931,1.8448,0.03562,1.14167,220.0,1
wang,0.02241,1.8448,0.04135,1.18612,220.0,1
wang,0.02552,1.8448,0.04707,1.23168,180.0,1
wang,0.02862,1.8448,0.05280,1.28237,180.0,1
wang,0.03172,1.8448,0.05853,1.32977,180.0,1
wang,0.03483,1.8448,0.06425,1.38169,140.0,1
wang,0.03793,1.8448,0.06998,1.43684,140.0,1
wang,0.04103,1.8448,0.07570,1.49078,140.0,1
wang,0.04414,1.8448,0.08143,1.53726,140.0,1
wang,0.04724,1.8448,0.08715,1.58270,140.0,1
wang,0.05034,1.8448,0.09288,1.62358,140.0,1
wang,0.05345,1.8448,0.09860,1.66084,140.0,1
wang,0.05655,1.8448,0.10433,1.69810,140.0,1
wang,0.05966,1.8448,0.11005,1.72914,140.0,1
wang,0.06276,1.8448,0.11578,1.75892,140.0,1
wang,0.06586,1.8448,0.12150,1.78870,140.0,1
wang,0.06897,1.8448,0.12723,1.81437,140.0,1
wang,0.07207,1.8448,0.13295,1.83764,140.0,1
wang,0.07517,1.8448,0.13868,1.86091,140.0,1
wang,0.07828,1.8448,0.14441,1.88418,140.0,1
wang,0.08138,1.8448,0.15013,1.90269,140.0,1
wang,0.08448,1.8448,0.15586,1.92053,140.0,1
wang,0.08759,1.8448,0.16158,1.93837,140.0,1
wang,0.09069,1.8448,0.16731,1.95620,140.0,1
wang,0.09379,1.8448,0.17303,1.97200,140.0,1
wang,0.09690,1.8448,0.17876,1.98546,140.0,1
wang,0.10000,1.8448,0.18448,1.99892,140.0,1
wang,0.01000,1.8966,0.01897,1.03222,300.0,1
wang,0.01310,1.8966,0.02485,1.06736,300.0,1
wang,0.01621,1.8966,0.03074,1.10760,260.0,1
wang,0.01931,1.8966,0.03662,1.14957,220.0,1
wang,0.02241,1.8966,0.04251,1.19444,220.0,1
wang,0.02552,1.8966,0.04839,1.24348,180.0,1
wang,0.02862,1.8966,0.05428,1.29543,180.0,1
wang,0.03172,1.8966,0.06017,1.34259,180.0,1
wang,0.03483,1.8966,0.06605,1.39987,140.0,1
wang,0.03793,1.8966,0.07194,1.45532,140.0,1
wang,0.04103,1.8966,0.07782,1.50866,140.0,1
wang,0.04414,1.8966,0.08371,1.55538,140.0,1
wang,0.04724,1.8966,0.08960,1.60209,140.0,1
wang,0.05034,1.8966,0.09548,1.64053,140.0,1
wang,0.05345,1.8966,0.10137,1.67883,140.0,1
wang,0.05655,1.8966,0.10725,1.71457,140.0,1
wang,0.05966,1.8966,0.11314,1.74519,140.0,1
wang,0.06276,1.8966,0.11902,1.77580,140.0,1
wang,0.06586,1.8966,0.12491,1.80494,140.0,1
wang,0.06897,1.8966,0.13080,1.82887,140.0,1
wang,0.07207,1.8966,0.13668,1.85279,140.0,1
wang,0.07517,1.8966,0.14257,1.87671,140.0,1
wang,0.07828,1.8966,0.14845,1.89747,140.0,1
wang,0.08138,1.8966,0.15434,1.91581,140.0,1
wang,0.08448,1.8966,0.16023,1.93414,140.0,1
wang,0.08759,1.8966,0.16611,1.95248,140.0,1
wang,0.09069,1.8966,0.17200,1.96957,140.0,1
wang,0.09379,1.8966,0.17788,1.98340,140.0,1
wang,0.09690,1.8966,0.18377,1.99724,140.0,1
wang,0.10000,1.8966,0.18966,2.01108,140.0,1
wang,0.01000,1.9483,0.01948,1.03541,300.0,1
wang,0.01310,1.9483,0.02553,1.07177,260.0,1
wang,0.01621,1.9483,0.03158,1.11307,260.0,1
wang,0.01931,1.9483,0.03762,1.15747,220.0,1
wang,0.02241,1.9483,0.04367,1.20276,220.0,1
wang,0.02552,1.9483,0.04971,1.25513,180.0,1
wang,0.02862,1.9483,0.05576,1.30817,180.0,1
wang,0.03172,1.9483,0.06181,1.35541,180.0,1
wang,0.03483,1.9483,0.06785,1.41684,140.0,1
wang,0.03793,1.9483,0.07390,1.47381,140.0,1
wang,0.04103,1.9483,0.07995,1.52551,140.0,1
wang,0.04414,1.9483,0.08599,1.57350,140.0,1
wang,0.04724,1.9483,0.09204,1.61813,140.0,1
wang,0.05034,1.9483,0.09809,1.65747,140.0,1
wang,0.05345,1.9483,0.10413,1.69682,140.0,1
wang,0.05655,1.9483,0.11018,1.72979,140.0,1
wang,0.05966,1.9483,0.11622,1.76124,140.0,1
wang,0.06276,1.9483,0.12227,1.79269,140.0,1
wang,0.06586,1.9483,0.12832,1.81879,140.0,1
wang,0.06897,1.9483,0.13436,1.84337,140.0,1
wang,0.07207,1.9483,0.14041,1.86794,140.0,1
wang,0.07517,1.9483,0.14646,1.89125,140.0,1
wang,0.07828,1.9483,0.15250,1.91008,140.0,1
wang,0.08138,1.9483,0.15855,1.92892,140.0,1
wang,0.08448,1.9483,0.16460,1.94776,140.0,1
wang,0.08759,1.9483,0.17064,1.96638,140.0,1
wang,0.09069,1.9483,0.17669,1.98060,140.0,1
wang,0.09379,1.9483,0.18273,1.99481,140.0,1
wang,0.09690,1.9483,0.18878,2.00902,140.0,1
wang,0.10000,1.9483,0.19483,2.02323,140.0,1
wang,0.01000,2.0000,0.02000,1.03861,300.0,1
wang,0.01310,2.0000,0.02621,1.07654,260.0,1
wang,0.01621,2.0000,0.03241,1.11853,260.0,1
wang,0.01931,2.0000,0.03862,1.16537,220.0,1
wang,0.02241,2.0000,0.04483,1.21108,220.0,1
wang,0.02552,2.0000,0.05103,1.26678,180.0,1
wang,0.02862,2.0000,0.05724,1.31974,180.0,1
wang,0.03172,2.0000,0.06345,1.37296,140.0,1
wang,0.03483,2.0000,0.06966,1.43381,140.0,1
wang,0.03793,2.0000,0.07586,1.49229,140.0,1
wang,0.04103,2.0000,0.08207,1.54235,140.0,1
wang,0.04414,2.0000,0.08828,1.59162,140.0,1
wang,0.04724,2.0000,0.09448,1.63403,140.0,1
wang,0.05034,2.0000,0.10069,1.67442,140.0,1
wang,0.05345,2.0000,0.10690,1.71272,140.0,1
wang,0.05655,2.0000,0.11310,1.74500,140.0,1
wang,0.05966,2.0000,0.11931,1.77729,140.0,1
wang,0.06276,2.0000,0.12552,1.80741,140.0,1
wang,0.06586,2.0000,0.13172,1.83264,140.0,1
wang,0.06897,2.0000,0.13793,1.85786,140.0,1
wang,0.07207,2.0000,0.14414,1.88309,140.0,1
wang,0.07517,2.0000,0.15034,1.90336,140.0,1
wang,0.07828,2.0000,0.15655,1.92270,140.0,1
wang,0.08138,2.0000,0.16276,1.94203,140.0,1
wang,0.08448,2.0000,0.16897,1.96137,140.0,1
wang,0.08759,2.0000,0.17517,1.97703,140.0,1
wang,0.09069,2.0000,0.18138,1.99162,140.0,1
wang,0.09379,2.0000,0.18759,2.00621,140.0,1
wang,0.09690,2.0000,0.19379,2.02080,140.0,1
wang,0.10000,2.0000,0.20000,2.03539,140.0,1
