cross_section,chi_model,Ti_core,B_T,P_net_erg_s,Pnet_over_Pbrems,Ptransport_over_Pfus
TB,gyro,500,15.9,-1.8259e+13,-64.0413,83.61
TB,gyro,533,15.9,-2.1454e+13,-70.2845,93.53
TB,gyro,567,15.9,-2.4963e+13,-76.5747,104.25
TB,gyro,600,15.9,-2.8796e+13,-82.8951,115.79
TB,gyro,200,17.3,-1.6271e+12,-12.6286,24.62
TB,gyro,233,17.3,-2.3554e+12,-16.3025,27.01
TB,gyro,267,17.3,-3.2601e+12,-20.3251,30.21
TB,gyro,300,17.3,-4.3540e+12,-24.6425,34.11
TB,gyro,333,17.3,-5.6489e+12,-29.2058,38.66
TB,gyro,367,17.3,-7.1557e+12,-33.9712,43.84
TB,gyro,400,17.3,-8.8847e+12,-38.9006,49.65
TB,gyro,433,17.3,-1.0846e+13,-43.9609,56.10
TB,gyro,467,17.3,-1.3048e+13,-49.1237,63.18
TB,gyro,500,17.3,-1.5500e+13,-54.3646,70.93
TB,gyro,533,17.3,-1.8212e+13,-59.6631,79.34
TB,gyro,567,17.3,-2.1190e+13,-65.0019,88.44
TB,gyro,600,17.3,-2.4444e+13,-70.3665,98.23
TB,gyro,200,18.6,-1.4069e+12,-10.9197,21.15
TB,gyro,233,18.6,-2.0317e+12,-14.0621,23.20
TB,gyro,267,18.6,-2.8081e+12,-17.5072,25.95
TB,gyro,300,18.6,-3.7473e+12,-21.2086,29.30
TB,gyro,333,18.6,-4.8593e+12,-25.1235,33.21
TB,gyro,367,18.6,-6.1537e+12,-29.2142,37.66
TB,gyro,400,18.6,-7.6392e+12,-33.4472,42.65
TB,gyro,433,18.6,-9.3242e+12,-37.7940,48.19
TB,gyro,467,18.6,-1.1217e+13,-42.2297,54.28
TB,gyro,500,18.6,-1.3324e+13,-46.7333,60.93
TB,gyro,533,18.6,-1.5655e+13,-51.2868,68.16
TB,gyro,567,18.6,-1.8215e+13,-55.8752,75.97
TB,gyro,600,18.6,-2.1012e+13,-60.4861,84.38
TB,gyro,200,20.0,-1.2302e+12,-9.5483,18.37
TB,gyro,233,20.0,-1.7720e+12,-12.2641,20.15
TB,gyro,267,20.0,-2.4454e+12,-15.2459,22.54
TB,gyro,300,20.0,-3.2604e+12,-18.4528,25.44
TB,gyro,333,20.0,-4.2257e+12,-21.8474,28.84
TB,gyro,367,20.0,-5.3495e+12,-25.3966,32.70
TB,gyro,400,20.0,-6.6396e+12,-29.0708,37.03
TB,gyro,433,20.0,-8.1032e+12,-32.8450,41.84
TB,gyro,467,20.0,-9.7472e+12,-36.6972,47.13
TB,gyro,500,20.0,-1.1578e+13,-40.6090,52.90
TB,gyro,533,20.0,-1.3603e+13,-44.5646,59.18
TB,gyro,567,20.0,-1.5827e+13,-48.5509,65.96
TB,gyro,600,20.0,-1.8257e+13,-52.5569,73.27
