Ti,tau,f_B,r_ash,eta_ch,f_tail,eta_drive,f_imp,xi_sync,Pnet_Pbrems
575.8324,0.9900,0.2495,0.0202,0.4881,0.5940,0.7085,0.0066,0.1137,0.0093
559.3747,0.9397,0.2478,0.0045,0.4680,0.5124,0.5880,0.0036,0.0178,0.0028
508.6266,0.9203,0.2884,0.0054,0.4939,0.5716,0.7995,0.0108,0.0273,0.0595
562.7754,0.5695,0.1647,0.0047,0.4963,0.5759,0.6933,0.0043,0.1147,0.0177
519.4916,0.9178,0.1837,0.0144,0.4504,0.5858,0.7186,0.0019,0.0541,0.0157
537.0868,0.7216,0.2840,0.0026,0.4823,0.5929,0.5422,0.0006,0.0150,0.1206
549.3510,0.5564,0.1771,0.0055,0.4683,0.5589,0.7036,0.0007,0.0196,0.0861
572.3891,0.5953,0.2082,0.0190,0.4890,0.5458,0.7216,0.0055,0.0395,0.0124
489.8504,0.8900,0.2150,0.0034,0.4750,0.5814,0.7046,0.0068,0.0365,0.0877
523.6647,0.6637,0.2243,0.0127,0.4752,0.5579,0.7241,0.0037,0.0171,0.0643
598.0838,0.7095,0.2463,0.0276,0.4651,0.5946,0.7907,0.0085,0.0478,0.0014
583.2531,0.8023,0.2116,0.0064,0.4834,0.5754,0.7966,0.0047,0.1632,0.0433
463.0387,0.8502,0.1637,0.0119,0.4983,0.5876,0.7908,0.0001,0.1352,0.0142
589.5270,0.8963,0.2577,0.0030,0.4808,0.5417,0.6057,0.0059,0.0604,0.0397
593.9882,0.5493,0.2383,0.0052,0.4875,0.5316,0.7723,0.0140,0.0427,0.0064
589.1271,0.9127,0.2566,0.0070,0.4181,0.5967,0.7163,0.0106,0.0136,0.0194
521.8115,0.9808,0.1510,0.0100,0.4854,0.5984,0.6052,0.0044,0.0161,0.0474
571.5340,0.6742,0.2514,0.0123,0.4811,0.5964,0.5705,0.0040,0.0401,0.0712
545.9926,0.6713,0.1963,0.0111,0.4250,0.5479,0.7760,0.0027,0.0215,0.0082
