Ti,tau,f_B,r_ash,eta_ch,f_tail,eta_drive,f_imp,xi_sync,Pnet_Pbrems
456.1646,0.7504,0.2001,0.0036,0.4659,0.5940,0.7580,0.0056,0.0231,0.1022
574.9990,0.6014,0.2024,0.0040,0.4813,0.5296,0.6775,0.0086,0.0517,0.0046
465.1954,0.9381,0.2676,0.0028,0.4597,0.5823,0.4751,0.0020,0.0004,0.0192
482.7287,0.7006,0.2312,0.0141,0.4906,0.5731,0.7765,0.0007,0.0407,0.0971
579.7993,0.8825,0.1900,0.0020,0.4256,0.5870,0.7487,0.0072,0.0046,0.0863
480.3100,0.9739,0.1781,0.0127,0.4667,0.5394,0.7933,0.0049,0.0024,0.0008
561.1212,0.7181,0.2455,0.0013,0.4302,0.5751,0.4691,0.0004,0.0188,0.0123
524.6255,0.6521,0.1871,0.0218,0.4987,0.5175,0.7057,0.0006,0.0038,0.0149
419.9418,0.6404,0.2160,0.0085,0.4727,0.5930,0.7942,0.0075,0.0159,0.0368
535.7372,0.9757,0.2536,0.0035,0.4913,0.5898,0.6195,0.0033,0.1032,0.0965
556.4642,0.6692,0.1683,0.0058,0.4790,0.5918,0.6538,0.0025,0.1406,0.0075
520.4010,0.8814,0.2908,0.0106,0.4849,0.5293,0.7857,0.0023,0.0084,0.0349
536.7509,0.8454,0.1718,0.0023,0.3858,0.5861,0.7325,0.0004,0.0294,0.0027
386.7196,0.7997,0.1537,0.0038,0.4744,0.5947,0.7108,0.0020,0.0109,0.0359
478.4940,0.8439,0.2409,0.0062,0.4926,0.5929,0.6846,0.0015,0.0453,0.1389
591.2266,0.9413,0.1955,0.0096,0.4471,0.5972,0.6221,0.0080,0.0272,0.0542
558.5202,0.9036,0.2266,0.0205,0.4713,0.5693,0.6703,0.0032,0.0447,0.0197
569.7246,0.8039,0.1890,0.0066,0.4464,0.5424,0.6494,0.0025,0.0077,0.0410
472.9082,0.9670,0.2060,0.0011,0.4763,0.5909,0.7775,0.0162,0.0549,0.0223
561.5821,0.9778,0.1943,0.0310,0.4934,0.5959,0.7166,0.0044,0.0350,0.0462
521.3076,0.8726,0.2458,0.0201,0.4772,0.5455,0.7652,0.0042,0.0123,0.0154
547.5348,0.5989,0.2398,0.0105,0.4942,0.5811,0.7820,0.0029,0.0610,0.1234
525.4739,0.7965,0.2865,0.0062,0.4405,0.5821,0.7400,0.0002,0.0495,0.0367
561.0051,0.8406,0.1393,0.0039,0.4675,0.5839,0.7843,0.0007,0.0068,0.1138
585.7429,0.4739,0.2619,0.0012,0.4951,0.5577,0.7391,0.0072,0.0442,0.0593
590.7003,0.9659,0.1704,0.0145,0.4902,0.5864,0.7659,0.0055,0.0618,0.0783
499.7981,0.6601,0.2552,0.0168,0.4769,0.5845,0.7848,0.0060,0.0319,0.0347
507.9967,0.5180,0.1610,0.0050,0.4759,0.5596,0.7813,0.0068,0.0121,0.0175
544.0625,0.9863,0.2182,0.0031,0.4972,0.5660,0.7692,0.0044,0.1367,0.0746
561.1841,0.8946,0.1856,0.0110,0.4949,0.5053,0.6341,0.0001,0.0510,0.0007
582.2644,0.7599,0.2284,0.0122,0.4979,0.5739,0.7496,0.0061,0.1185,0.0544
508.0273,0.7996,0.1895,0.0148,0.4917,0.5983,0.6919,0.0113,0.0226,0.0474
555.2600,0.7321,0.1971,0.0232,0.4596,0.5928,0.7987,0.0000,0.0986,0.0189
579.4478,0.9392,0.2232,0.0056,0.4719,0.5887,0.7332,0.0053,0.1489,0.0427
587.3427,0.6103,0.1798,0.0076,0.4333,0.5873,0.6164,0.0051,0.0185,0.0215
413.4502,0.8907,0.2086,0.0010,0.4809,0.5935,0.6647,0.0096,0.0020,0.0668
596.9764,0.9258,0.1893,0.0256,0.4760,0.5556,0.7857,0.0060,0.0262,0.0043
587.8898,0.9038,0.2821,0.0036,0.4970,0.5946,0.7636,0.0125,0.1400,0.0378
558.6312,0.6616,0.1404,0.0076,0.4379,0.5989,0.6985,0.0005,0.0373,0.0183
523.0791,0.9683,0.2901,0.0114,0.4666,0.5970,0.7272,0.0012,0.0565,0.0569
555.6429,0.7145,0.2598,0.0054,0.4336,0.5304,0.7566,0.0023,0.0022,0.0275
537.1469,0.6031,0.2106,0.0308,0.4673,0.5800,0.7867,0.0014,0.0304,0.0126
500.4142,0.8315,0.2589,0.0253,0.4907,0.5702,0.6824,0.0051,0.0014,0.0123
481.2000,0.9293,0.2377,0.0069,0.4582,0.5257,0.7511,0.0001,0.0208,0.0219
563.9868,0.7979,0.1947,0.0350,0.4762,0.5791,0.7662,0.0042,0.0092,0.0118
520.2141,0.6954,0.2526,0.0161,0.4907,0.5623,0.7176,0.0044,0.0194,0.0546
543.3814,0.5530,0.1563,0.0026,0.4936,0.5999,0.7288,0.0027,0.0022,0.1689
537.7818,0.9434,0.2143,0.0017,0.4595,0.5539,0.5493,0.0032,0.0591,0.0150
570.7840,0.9829,0.1844,0.0103,0.4609,0.5574,0.5678,0.0014,0.0335,0.0258
510.5224,0.6163,0.2094,0.0094,0.4825,0.5817,0.5667,0.0059,0.0223,0.0046
590.5898,0.7688,0.1936,0.0013,0.4600,0.5807,0.6107,0.0084,0.0154,0.0970
560.8946,0.7301,0.2250,0.0149,0.4964,0.5862,0.5626,0.0029,0.0705,0.0518
557.4167,0.9305,0.2575,0.0021,0.4655,0.5926,0.3864,0.0041,0.0360,0.0308
479.2030,0.6694,0.2419,0.0116,0.4753,0.5785,0.7982,0.0024,0.0711,0.0430
387.3941,0.9759,0.1573,0.0078,0.4952,0.5802,0.7564,0.0016,0.0227,0.0381
585.8758,0.7331,0.2529,0.0063,0.4461,0.5711,0.6428,0.0143,0.0063,0.0000
534.6777,0.7999,0.2605,0.0072,0.4785,0.5734,0.5976,0.0031,0.0774,0.0271
408.0247,0.7539,0.1665,0.0045,0.4960,0.5569,0.7993,0.0085,0.0034,0.0360
539.5992,0.6679,0.1704,0.0094,0.3963,0.5693,0.7504,0.0007,0.0035,0.0053
553.6767,0.6418,0.1764,0.0047,0.4871,0.5049,0.7623,0.0020,0.0464,0.0429
558.2936,0.8936,0.2530,0.0094,0.4127,0.5921,0.5137,0.0007,0.0118,0.0026
523.9267,0.8283,0.1863,0.0136,0.4692,0.5318,0.7771,0.0008,0.0295,0.0289
545.2972,0.8420,0.1928,0.0059,0.4198,0.5648,0.6912,0.0037,0.0098,0.0212
458.5767,0.9270,0.2046,0.0072,0.4412,0.5773,0.7091,0.0058,0.0114,0.0142
482.1094,0.8782,0.2360,0.0212,0.4771,0.5894,0.6907,0.0004,0.0665,0.0162
547.4465,0.7499,0.2298,0.0011,0.4852,0.5527,0.7135,0.0057,0.1511,0.0035
594.8145,0.9975,0.2785,0.0192,0.4621,0.5850,0.6281,0.0089,0.0108,0.0136
569.0845,0.8500,0.2471,0.0053,0.4868,0.5815,0.6467,0.0049,0.0659,0.1128
542.7969,0.6202,0.2406,0.0142,0.4696,0.5468,0.6311,0.0037,0.0078,0.0021
519.3824,0.8060,0.1444,0.0014,0.4842,0.5836,0.6276,0.0042,0.0279,0.0490
585.7092,0.9734,0.2088,0.0104,0.4845,0.5917,0.6862,0.0038,0.1703,0.0293
403.0766,0.9807,0.2636,0.0013,0.4973,0.5689,0.7181,0.0005,0.0827,0.0360
501.3952,0.9447,0.1692,0.0109,0.4835,0.5601,0.6473,0.0060,0.0076,0.0169
592.3992,0.7263,0.2564,0.0086,0.4869,0.5581,0.6271,0.0055,0.0487,0.0598
584.7079,0.5160,0.2056,0.0032,0.4391,0.5967,0.7440,0.0097,0.0317,0.0555
551.0678,0.6302,0.2369,0.0138,0.4794,0.5699,0.7886,0.0039,0.0493,0.0767
524.7784,0.8385,0.2273,0.0042,0.4925,0.5431,0.7431,0.0027,0.0242,0.1312
539.4814,0.9012,0.2769,0.0083,0.4873,0.5781,0.4406,0.0004,0.0267,0.0493
489.1584,0.7108,0.2210,0.0075,0.4929,0.5977,0.7782,0.0071,0.0060,0.1625
589.6618,0.6388,0.2410,0.0044,0.4672,0.5870,0.7136,0.0125,0.0228,0.0882
528.3668,0.5279,0.2647,0.0091,0.4994,0.5884,0.7456,0.0038,0.0987,0.0250
541.9451,0.6086,0.2973,0.0051,0.4931,0.5278,0.6732,0.0006,0.0129,0.0382
485.1723,0.9786,0.1999,0.0286,0.4876,0.5828,0.6140,0.0016,0.0038,0.0150
544.6482,0.6818,0.2801,0.0011,0.4437,0.5894,0.7758,0.0018,0.0867,0.0556
511.4710,0.7462,0.2882,0.0124,0.4760,0.5880,0.6833,0.0106,0.0156,0.0011
592.5626,0.8626,0.2024,0.0104,0.4776,0.5552,0.4826,0.0025,0.0102,0.0497
568.3614,0.7360,0.1814,0.0011,0.4784,0.5788,0.4474,0.0070,0.0294,0.0029
514.1501,0.7449,0.1523,0.0042,0.5000,0.5963,0.7666,0.0010,0.0434,0.1618
577.8325,0.8758,0.2394,0.0019,0.4710,0.5981,0.7851,0.0006,0.0129,0.2654
564.7718,0.7958,0.1825,0.0100,0.4976,0.5453,0.7351,0.0127,0.0225,0.0286
574.3549,0.4893,0.2216,0.0130,0.4739,0.5527,0.7973,0.0017,0.0870,0.0077
549.5916,0.7659,0.2632,0.0061,0.4904,0.5728,0.5420,0.0104,0.0204,0.0328
596.8213,0.9331,0.2034,0.0069,0.4976,0.5845,0.6922,0.0172,0.0030,0.1166
521.0141,0.8666,0.1803,0.0081,0.4655,0.5908,0.7984,0.0059,0.0818,0.0411
569.9909,0.7542,0.2410,0.0186,0.4972,0.5958,0.6203,0.0076,0.0864,0.0216
499.3093,0.8697,0.2750,0.0035,0.4296,0.5690,0.7117,0.0008,0.0261,0.0202
451.7175,0.6312,0.2384,0.0100,0.4689,0.5786,0.6954,0.0039,0.0285,0.0042
424.3948,0.7426,0.2851,0.0020,0.4620,0.5796,0.7335,0.0017,0.0075,0.0456
540.2035,0.6869,0.2133,0.0108,0.4771,0.5831,0.6710,0.0077,0.0655,0.0273
561.8151,0.5332,0.1979,0.0059,0.4546,0.5840,0.6329,0.0054,0.0490,0.0043
501.9956,0.9105,0.2352,0.0015,0.4770,0.5597,0.6359,0.0021,0.0450,0.0844
587.9408,0.5720,0.2290,0.0163,0.4949,0.5866,0.6497,0.0008,0.0291,0.1222
583.3641,0.7749,0.2024,0.0322,0.4919,0.5938,0.6272,0.0011,0.0622,0.0224
597.4386,0.4507,0.2509,0.0038,0.4892,0.5833,0.5580,0.0013,0.0338,0.0179
578.6659,0.9864,0.1574,0.0149,0.4960,0.5457,0.5702,0.0008,0.0160,0.0259
503.7019,0.9559,0.2980,0.0080,0.4511,0.5843,0.5883,0.0043,0.0034,0.0038
423.6756,0.9714,0.1850,0.0185,0.4600,0.5920,0.7588,0.0010,0.0029,0.0316
593.8498,0.7394,0.2101,0.0111,0.4882,0.5682,0.5556,0.0002,0.1083,0.0345
476.5761,0.6487,0.2068,0.0133,0.4834,0.5520,0.7598,0.0064,0.0163,0.0228
581.1502,0.6587,0.1799,0.0033,0.4885,0.5036,0.7254,0.0041,0.0039,0.0780
390.5299,0.8352,0.2165,0.0046,0.4964,0.5788,0.7758,0.0052,0.0603,0.0406
571.8902,0.4532,0.1968,0.0012,0.4174,0.5610,0.7945,0.0001,0.0524,0.0220
560.0431,0.9630,0.2311,0.0020,0.4874,0.5760,0.5908,0.0097,0.0912,0.0475
596.2752,0.7269,0.2618,0.0129,0.4991,0.5232,0.5441,0.0014,0.0013,0.0430
489.4680,0.6616,0.2030,0.0170,0.4314,0.5967,0.7489,0.0013,0.0213,0.0286
426.0944,0.6978,0.2228,0.0077,0.4968,0.5554,0.7484,0.0046,0.0408,0.0269
544.6450,0.8741,0.2058,0.0122,0.4890,0.5115,0.7060,0.0060,0.0222,0.0012
501.3206,0.7742,0.2684,0.0107,0.4940,0.5920,0.7087,0.0025,0.1321,0.0179
592.2437,0.9051,0.1662,0.0084,0.4731,0.5902,0.6906,0.0017,0.1116,0.0502
563.0653,0.6660,0.2452,0.0028,0.4619,0.5857,0.7505,0.0112,0.0652,0.0513
588.7413,0.7919,0.2764,0.0133,0.4880,0.5812,0.7997,0.0152,0.0077,0.0633
519.3076,0.9990,0.2426,0.0016,0.4933,0.5530,0.6892,0.0080,0.1143,0.0074
442.3302,0.7284,0.2498,0.0082,0.4908,0.5951,0.6559,0.0030,0.0169,0.0802
557.2601,0.7834,0.2015,0.0046,0.4445,0.5993,0.7184,0.0065,0.0749,0.0552
473.9117,0.6344,0.2048,0.0044,0.4911,0.5231,0.7960,0.0096,0.0003,0.0402
498.9735,0.6857,0.1643,0.0016,0.4543,0.5778,0.5259,0.0006,0.0047,0.0090
590.8564,0.9923,0.2652,0.0054,0.4498,0.5799,0.4975,0.0011,0.0516,0.0519
580.2991,0.6690,0.2327,0.0183,0.4808,0.5715,0.7049,0.0023,0.0174,0.0996
515.7548,0.5845,0.2174,0.0120,0.4982,0.5983,0.6783,0.0091,0.0396,0.0466
596.1157,0.8911,0.2698,0.0137,0.4941,0.5684,0.4593,0.0043,0.0266,0.0398
578.5550,0.7483,0.1811,0.0040,0.4619,0.5590,0.7917,0.0031,0.0613,0.0877
544.9139,0.7096,0.2126,0.0145,0.4866,0.5488,0.7428,0.0082,0.0063,0.0541
554.3536,0.9596,0.2032,0.0129,0.4629,0.5825,0.7644,0.0074,0.0444,0.0449
591.9496,0.8164,0.2645,0.0122,0.4554,0.5943,0.4854,0.0001,0.0633,0.0213
581.4131,0.8442,0.2345,0.0238,0.4870,0.5878,0.7780,0.0013,0.0245,0.1299
486.5969,0.8100,0.1877,0.0079,0.4916,0.5665,0.6346,0.0111,0.0160,0.0123
495.3122,0.6368,0.2278,0.0082,0.4688,0.5600,0.7614,0.0000,0.0498,0.0703
445.1641,0.9053,0.2486,0.0026,0.4769,0.5801,0.5770,0.0034,0.0239,0.0493
589.7941,0.7286,0.1604,0.0033,0.4948,0.5733,0.7922,0.0019,0.0811,0.1408
498.8917,0.9470,0.2613,0.0071,0.4756,0.5752,0.7585,0.0014,0.1251,0.0128
559.3717,0.7909,0.2361,0.0087,0.4822,0.5904,0.6420,0.0093,0.1030,0.0182
545.7659,0.6939,0.1989,0.0054,0.4789,0.5258,0.7769,0.0051,0.0105,0.0857
594.9978,0.9159,0.2102,0.0060,0.4817,0.5513,0.6616,0.0012,0.0825,0.0886
542.6410,0.5934,0.1895,0.0014,0.4578,0.5914,0.6605,0.0064,0.0867,0.0200
502.5538,0.7763,0.2942,0.0029,0.4563,0.5988,0.6289,0.0045,0.0293,0.0401
565.6616,0.7515,0.2420,0.0036,0.4900,0.5317,0.6842,0.0123,0.0006,0.0561
536.6434,0.7159,0.2631,0.0134,0.4927,0.5719,0.6459,0.0091,0.0492,0.0013
525.2470,0.6008,0.1737,0.0047,0.4289,0.5975,0.7823,0.0127,0.0006,0.0211
584.5022,0.9463,0.2023,0.0283,0.4779,0.5773,0.6056,0.0000,0.0552,0.0124
598.5527,0.6252,0.2475,0.0078,0.4787,0.5997,0.6748,0.0023,0.0080,0.1996
483.6352,0.9937,0.2256,0.0029,0.4932,0.5871,0.7404,0.0068,0.0976,0.0747
515.9512,0.7425,0.2542,0.0027,0.4891,0.5662,0.7468,0.0020,0.1748,0.0093
537.3526,0.8590,0.2070,0.0068,0.4905,0.5999,0.5618,0.0086,0.0538,0.0730
585.6680,0.6314,0.1724,0.0013,0.4805,0.5886,0.5505,0.0012,0.0974,0.0486
573.0663,0.5008,0.2550,0.0030,0.3909,0.5845,0.7975,0.0025,0.0212,0.0145
487.1125,0.5901,0.2664,0.0109,0.4981,0.5408,0.7522,0.0055,0.0234,0.0009
582.2675,0.9626,0.2401,0.0011,0.4522,0.5270,0.7263,0.0017,0.0726,0.0257
499.9151,0.6983,0.2704,0.0072,0.4152,0.5855,0.7555,0.0006,0.0143,0.0266
448.8488,0.4554,0.2444,0.0014,0.4989,0.5954,0.7718,0.0047,0.0027,0.0146
517.4842,0.9819,0.2961,0.0018,0.4781,0.5863,0.6567,0.0139,0.0440,0.0055
490.7018,0.8059,0.2089,0.0135,0.4777,0.5944,0.7330,0.0006,0.1299,0.0228
599.2781,0.7552,0.2012,0.0109,0.4720,0.5700,0.7750,0.0167,0.0287,0.0199
552.6108,0.5352,0.2247,0.0075,0.4955,0.5754,0.7127,0.0076,0.0773,0.0345
561.8931,0.9692,0.1753,0.0014,0.4723,0.5623,0.7477,0.0137,0.0108,0.0517
571.2674,0.9084,0.1763,0.0098,0.4914,0.5955,0.5198,0.0066,0.0036,0.0964
576.7386,0.7030,0.2434,0.0090,0.4966,0.5837,0.6821,0.0008,0.0199,0.2039
513.0912,0.9214,0.1587,0.0129,0.4699,0.5819,0.7162,0.0001,0.0739,0.0084
590.1335,0.6837,0.2023,0.0064,0.4920,0.5409,0.5002,0.0036,0.0218,0.0294
563.8759,0.7705,0.2193,0.0038,0.4989,0.5901,0.6582,0.0004,0.2174,0.0556
556.0600,0.8295,0.2654,0.0057,0.4965,0.5602,0.7173,0.0090,0.0015,0.1190
538.6110,0.9680,0.2221,0.0013,0.4825,0.5773,0.6777,0.0030,0.1287,0.0748
554.6026,0.7927,0.2276,0.0068,0.3902,0.5832,0.6304,0.0001,0.0037,0.0168
481.3682,0.8401,0.2094,0.0053,0.4701,0.5742,0.6244,0.0023,0.0228,0.0766
583.4351,0.8033,0.1934,0.0138,0.4731,0.5489,0.7882,0.0102,0.0120,0.0341
595.3917,0.9396,0.2890,0.0072,0.4540,0.5690,0.6869,0.0083,0.0410,0.0086
568.3974,0.9120,0.2575,0.0212,0.4958,0.5977,0.7364,0.0031,0.0234,0.1377
543.7710,0.7486,0.2256,0.0079,0.4642,0.5883,0.5290,0.0043,0.0575,0.0159
558.9406,0.8117,0.2826,0.0044,0.4532,0.5611,0.7065,0.0013,0.0601,0.0341
555.4148,0.8277,0.1842,0.0188,0.4852,0.5546,0.5389,0.0000,0.0207,0.0112
583.4594,0.4778,0.1571,0.0068,0.4886,0.5717,0.6890,0.0053,0.0224,0.0130
592.5369,0.6858,0.2513,0.0180,0.4954,0.5431,0.6933,0.0074,0.0027,0.0491
582.0347,0.9748,0.2154,0.0052,0.4645,0.5493,0.4937,0.0061,0.0383,0.0046
463.6162,0.6698,0.1764,0.0011,0.4584,0.5977,0.7469,0.0041,0.1140,0.0105
551.2596,0.6014,0.2084,0.0129,0.4719,0.5859,0.5895,0.0033,0.0021,0.0607
597.9746,0.7328,0.1849,0.0095,0.4951,0.5902,0.6522,0.0123,0.1040,0.0116
522.6066,0.8003,0.1930,0.0055,0.4630,0.5849,0.5573,0.0011,0.0374,0.0650
584.3961,0.8190,0.2187,0.0047,0.4967,0.5260,0.7676,0.0133,0.0089,0.0700
559.1845,0.9741,0.1980,0.0026,0.4333,0.5912,0.7608,0.0032,0.1326,0.0063
598.3105,0.4419,0.2719,0.0017,0.4339,0.5995,0.7903,0.0052,0.0376,0.0336
456.4108,0.9419,0.1562,0.0113,0.4904,0.5913,0.7786,0.0090,0.0019,0.0378
578.1066,0.7686,0.2599,0.0114,0.4735,0.5923,0.5594,0.0051,0.0947,0.0025
479.7331,0.8044,0.1654,0.0018,0.4910,0.5522,0.7435,0.0009,0.0189,0.1187
471.2599,0.6183,0.2586,0.0138,0.4940,0.5782,0.7634,0.0014,0.0015,0.0941
589.9821,0.6743,0.2844,0.0028,0.4721,0.5318,0.7375,0.0093,0.0186,0.0256
505.7810,0.9171,0.1949,0.0061,0.4693,0.5998,0.6072,0.0105,0.0405,0.0286
564.4447,0.5235,0.2312,0.0048,0.3996,0.5983,0.7168,0.0019,0.0246,0.0327
523.2160,0.9197,0.2771,0.0150,0.4571,0.5807,0.6529,0.0018,0.0328,0.0113
500.1674,0.8814,0.2459,0.0010,0.4994,0.5862,0.6395,0.0070,0.0503,0.1201
592.0795,0.7498,0.1457,0.0048,0.4716,0.5882,0.6661,0.0065,0.0059,0.0703
582.6998,0.5859,0.2397,0.0168,0.4824,0.5583,0.6538,0.0057,0.0239,0.0188
541.1376,0.9448,0.2100,0.0085,0.4971,0.5798,0.7240,0.0068,0.1542,0.0133
569.6428,0.9734,0.1705,0.0082,0.4708,0.5492,0.6387,0.0033,0.0243,0.0356
520.7904,0.6676,0.2553,0.0105,0.4997,0.5470,0.6669,0.0026,0.0695,0.0168
570.2068,0.9543,0.1953,0.0162,0.4669,0.5424,0.7513,0.0008,0.0649,0.0068
545.5870,0.7063,0.2879,0.0014,0.4989,0.5505,0.4511,0.0020,0.0255,0.0054
540.3556,0.5282,0.2045,0.0067,0.4498,0.5692,0.8000,0.0021,0.0115,0.0999
593.6853,0.8947,0.2267,0.0022,0.4896,0.5623,0.7970,0.0054,0.0075,0.2138
590.8374,0.8183,0.1889,0.0253,0.4676,0.5970,0.7708,0.0090,0.0456,0.0046
580.3284,0.8423,0.2776,0.0109,0.4982,0.5896,0.4784,0.0078,0.0047,0.0776
560.7569,0.6820,0.2204,0.0116,0.4899,0.5702,0.7541,0.0048,0.0280,0.1271
521.3596,0.5800,0.2404,0.0025,0.4564,0.5828,0.7051,0.0155,0.0020,0.0117
597.1636,0.5155,0.2636,0.0126,0.4868,0.5775,0.7855,0.0068,0.0831,0.0259
574.0369,0.9464,0.2767,0.0064,0.4792,0.5604,0.7041,0.0119,0.0166,0.0459
479.0112,0.6990,0.2627,0.0149,0.4838,0.5935,0.5832,0.0005,0.0274,0.0258
588.7773,0.9652,0.2275,0.0090,0.4707,0.5954,0.5105,0.0149,0.0146,0.0363
555.9482,0.8689,0.1473,0.0154,0.4976,0.5906,0.7391,0.0042,0.0823,0.0090
586.3383,0.7887,0.2241,0.0019,0.4992,0.5786,0.4567,0.0139,0.0263,0.0434
553.1539,0.9981,0.2895,0.0011,0.4889,0.5982,0.7435,0.0185,0.0065,0.0977
572.9537,0.7747,0.2842,0.0104,0.4887,0.5435,0.7787,0.0117,0.0236,0.0126
477.9176,0.8691,0.2670,0.0205,0.4860,0.5766,0.6340,0.0009,0.0157,0.0234
531.6079,0.6239,0.2096,0.0148,0.4941,0.5577,0.6974,0.0025,0.0603,0.0366
557.8880,0.8531,0.2155,0.0062,0.4798,0.5845,0.7131,0.0038,0.0163,0.1762
567.1507,0.6103,0.2324,0.0041,0.4262,0.5272,0.7834,0.0004,0.0400,0.0238
544.9329,0.8835,0.2887,0.0101,0.4688,0.5649,0.5317,0.0019,0.0184,0.0137
596.1519,0.7171,0.2249,0.0093,0.4802,0.5455,0.6858,0.0057,0.0332,0.0701
542.2412,0.7654,0.2103,0.0029,0.4725,0.5941,0.7432,0.0071,0.1799,0.0020
521.4995,0.8458,0.2588,0.0065,0.4702,0.5615,0.5503,0.0035,0.0390,0.0095
570.3174,0.8024,0.1716,0.0027,0.4969,0.5636,0.5941,0.0031,0.0173,0.1287
547.7815,0.6381,0.2679,0.0160,0.4881,0.5962,0.5985,0.0048,0.0373,0.0309
464.2563,0.9736,0.2441,0.0031,0.4826,0.5586,0.7518,0.0016,0.1124,0.0196
501.7535,0.7218,0.1952,0.0076,0.4357,0.5594,0.7670,0.0053,0.0007,0.0361
388.0823,0.8064,0.1993,0.0062,0.4533,0.5738,0.7808,0.0026,0.0018,0.0414
530.7569,0.6164,0.2038,0.0059,0.4705,0.5172,0.7334,0.0006,0.0736,0.0057
560.4979,0.8674,0.1981,0.0154,0.4877,0.4903,0.6850,0.0019,0.0003,0.0002
581.5774,0.8217,0.2179,0.0143,0.4885,0.5899,0.5659,0.0068,0.0924,0.0184
540.0096,0.8484,0.1889,0.0046,0.4364,0.5828,0.7865,0.0048,0.0201,0.0819
460.7781,0.5678,0.2147,0.0105,0.4777,0.5729,0.7408,0.0005,0.0367,0.0385
575.6946,0.9417,0.2542,0.0063,0.4942,0.5778,0.6735,0.0060,0.0877,0.0950
589.9039,0.8323,0.1924,0.0022,0.4824,0.4727,0.7056,0.0001,0.0446,0.0179
592.8230,0.8501,0.2922,0.0079,0.4977,0.5174,0.7454,0.0096,0.0257,0.0070
477.3039,0.9823,0.1612,0.0089,0.4766,0.5671,0.7237,0.0005,0.0119,0.0628
557.6533,0.8042,0.2488,0.0092,0.4951,0.5544,0.6305,0.0042,0.1072,0.0083
568.6774,0.7263,0.2818,0.0052,0.4974,0.4940,0.7728,0.0002,0.0051,0.0793
519.7933,0.9755,0.1961,0.0123,0.4423,0.5705,0.6599,0.0000,0.0069,0.0462
599.1128,0.9117,0.1885,0.0012,0.4745,0.5760,0.5806,0.0113,0.0782,0.0264
572.1424,0.6419,0.2368,0.0074,0.4972,0.5618,0.6629,0.0074,0.0123,0.1108
590.1592,0.8603,0.2472,0.0235,0.4742,0.5579,0.7739,0.0065,0.0284,0.0112
540.4156,0.7581,0.2588,0.0283,0.4999,0.5875,0.5399,0.0000,0.0339,0.0133
507.6769,0.6086,0.2405,0.0085,0.4914,0.5848,0.7578,0.0053,0.0455,0.0929
594.3357,0.7596,0.2876,0.0035,0.4514,0.5857,0.7959,0.0078,0.0668,0.0448
576.7199,0.8791,0.1946,0.0133,0.4832,0.5930,0.4713,0.0091,0.0306,0.0105
522.4977,0.9508,0.1693,0.0163,0.4930,0.5832,0.7730,0.0026,0.0445,0.0741
548.9428,0.5247,0.1601,0.0015,0.4790,0.5476,0.7587,0.0038,0.0288,0.0589
571.2315,0.7324,0.2565,0.0140,0.4741,0.5814,0.7465,0.0033,0.0117,0.1216
482.4820,0.6623,0.2109,0.0123,0.4995,0.5891,0.6085,0.0013,0.0111,0.0910
563.1490,0.5994,0.1823,0.0023,0.4471,0.5931,0.7631,0.0012,0.1242,0.0613
584.5393,0.9836,0.1957,0.0224,0.4945,0.5638,0.6790,0.0112,0.0190,0.0110
537.9572,0.7970,0.2295,0.0096,0.4852,0.5941,0.7895,0.0032,0.1405,0.0688
