Ti,tau,f_B,r_ash,eta_ch,f_tail,eta_drive,f_imp,xi_sync,Pnet_Pbrems
574.0887,0.5500,0.2710,0.0240,0.4544,0.5855,0.7682,0.0084,0.0060,0.0109
561.5821,0.9778,0.1943,0.0310,0.4934,0.5959,0.7166,0.0044,0.0350,0.0670
521.3076,0.8726,0.2458,0.0201,0.4772,0.5455,0.7652,0.0042,0.0123,0.0332
547.5348,0.5989,0.2398,0.0105,0.4942,0.5811,0.7820,0.0029,0.0610,0.1386
525.4739,0.7965,0.2865,0.0062,0.4405,0.5821,0.7400,0.0002,0.0495,0.0375
561.0051,0.8406,0.1393,0.0039,0.4675,0.5839,0.7843,0.0007,0.0068,0.1174
587.2257,0.7297,0.2789,0.0073,0.4709,0.5796,0.7192,0.0115,0.1282,0.0001
585.7429,0.4739,0.2619,0.0012,0.4951,0.5577,0.7391,0.0072,0.0442,0.0938
590.7003,0.9659,0.1704,0.0145,0.4902,0.5864,0.7659,0.0055,0.0618,0.1068
499.7981,0.6601,0.2552,0.0168,0.4769,0.5845,0.7848,0.0060,0.0319,0.0622
507.9967,0.5180,0.1610,0.0050,0.4759,0.5596,0.7813,0.0068,0.0121,0.0525
593.0849,0.6021,0.2361,0.0198,0.4518,0.5992,0.7359,0.0144,0.0157,0.0547
544.0625,0.9863,0.2182,0.0031,0.4972,0.5660,0.7692,0.0044,0.1367,0.0969
556.8680,0.8331,0.2522,0.0268,0.4752,0.5901,0.7488,0.0179,0.0254,0.0111
561.1841,0.8946,0.1856,0.0110,0.4949,0.5053,0.6341,0.0001,0.0510,0.0010
582.2644,0.7599,0.2284,0.0122,0.4979,0.5739,0.7496,0.0061,0.1185,0.0846
527.5886,0.9873,0.2470,0.0156,0.4963,0.5785,0.5413,0.0162,0.0007,0.0573
531.0665,0.6514,0.2208,0.0013,0.4656,0.5723,0.7098,0.0174,0.0402,0.0751
593.2954,0.6820,0.1909,0.0021,0.4944,0.5131,0.6692,0.0095,0.0682,0.0398
508.0273,0.7996,0.1895,0.0148,0.4917,0.5983,0.6919,0.0113,0.0226,0.1013
555.2600,0.7321,0.1971,0.0232,0.4596,0.5928,0.7987,0.0000,0.0986,0.0191
532.2082,0.8290,0.2151,0.0095,0.4395,0.5873,0.7574,0.0165,0.0660,0.0010
