Ti,tau,f_B,r_ash,eta_ch,f_tail,eta_drive,f_imp,xi_sync,Pnet_Pbrems
519.8764,0.3299,0.1379,0.0131,0.0029,0.4106,0.4441,0.0059,0.0112,0.0516
471.7415,0.3969,0.2523,0.0042,0.4832,0.5768,0.6607,0.0004,0.0569,0.1440
589.9173,0.5814,0.2043,0.0396,0.4850,0.5830,0.7740,0.0058,0.0853,0.0256
506.1390,0.5731,0.2691,0.0028,0.4755,0.5056,0.5869,0.0090,0.0009,0.0122
464.9843,0.3328,0.1322,0.0011,0.0166,0.4867,0.7903,0.0019,0.0301,0.1099
545.7619,0.8535,0.2808,0.0097,0.4615,0.5731,0.6914,0.0021,0.0938,0.0096
594.8943,0.5595,0.2988,0.0141,0.4796,0.5438,0.7518,0.0121,0.0489,0.0359
572.4134,0.7019,0.1413,0.0015,0.4727,0.5696,0.7551,0.0100,0.0664,0.0742
328.6045,0.4406,0.0943,0.0018,0.1836,0.3649,0.7505,0.0053,0.0594,0.0227
565.6335,0.3178,0.1280,0.0216,0.4605,0.5402,0.6869,0.0000,0.0766,0.1071
489.7380,0.3179,0.1756,0.0030,0.0023,0.3312,0.3693,0.0104,0.0619,0.0387
404.0217,0.3265,0.1842,0.0130,0.1915,0.4922,0.6199,0.0007,0.0073,0.0290
504.1611,0.3274,0.1565,0.0268,0.2839,0.3282,0.7127,0.0045,0.0004,0.0338
366.5868,0.3854,0.0899,0.0028,0.0199,0.1636,0.5484,0.0134,0.0020,0.0142
486.4349,0.3312,0.1906,0.0036,0.4934,0.4718,0.6911,0.0057,0.1082,0.1091
436.7014,0.4013,0.1161,0.0167,0.4314,0.5859,0.7358,0.0080,0.0756,0.0394
471.5286,0.3512,0.1316,0.0160,0.4576,0.3360,0.7391,0.0199,0.0177,0.0174
471.9648,0.3811,0.1754,0.0075,0.3443,0.5246,0.7733,0.0122,0.1388,0.0116
586.6237,0.3003,0.2408,0.0089,0.3759,0.5639,0.6156,0.0076,0.0579,0.0670
544.0182,0.3030,0.1946,0.0205,0.0609,0.4023,0.7788,0.0063,0.0054,0.0083
491.9530,0.3568,0.1287,0.0144,0.4287,0.5968,0.6600,0.0073,0.0728,0.0720
560.3915,0.3209,0.1773,0.0177,0.4958,0.3897,0.7276,0.0119,0.0135,0.0995
541.9204,0.4605,0.2033,0.0061,0.4907,0.4609,0.6424,0.0089,0.0410,0.0343
457.1665,0.3766,0.2106,0.0117,0.4811,0.5871,0.6993,0.0008,0.1805,0.0578
580.7366,0.4142,0.1264,0.0025,0.4328,0.5116,0.7023,0.0142,0.0274,0.0702
545.9129,0.3476,0.1887,0.0247,0.3458,0.5754,0.7386,0.0060,0.0395,0.0914
487.0153,0.3547,0.1183,0.0253,0.0170,0.3310,0.7044,0.0043,0.0002,0.0145
396.1114,0.3175,0.2380,0.0076,0.4713,0.3091,0.7864,0.0153,0.0005,0.0723
428.8979,0.3269,0.2252,0.0353,0.3947,0.5988,0.7122,0.0109,0.0548,0.0026
421.9124,0.3670,0.1508,0.0290,0.2229,0.5453,0.7264,0.0012,0.0762,0.0062
500.3649,0.3287,0.1351,0.0032,0.1118,0.2318,0.6195,0.0145,0.0477,0.0240
456.4091,0.4370,0.1765,0.0137,0.2619,0.5585,0.7875,0.0033,0.0379,0.0065
420.3874,0.3414,0.2054,0.0040,0.2519,0.4874,0.5735,0.0150,0.0107,0.0028
527.2184,0.3511,0.2650,0.0024,0.4702,0.5741,0.7372,0.0048,0.0916,0.1742
463.2003,0.3778,0.1260,0.0066,0.3249,0.4366,0.7663,0.0004,0.0710,0.0807
554.7471,0.3648,0.2077,0.0392,0.4919,0.4952,0.6741,0.0006,0.0074,0.0466
518.7260,0.4166,0.2366,0.0275,0.4942,0.5507,0.6948,0.0186,0.0553,0.0080
405.9773,0.3708,0.1911,0.0077,0.3988,0.4152,0.6564,0.0016,0.0411,0.0188
468.4151,0.3026,0.1785,0.0013,0.0939,0.5704,0.5420,0.0031,0.0068,0.0270
477.6157,0.3292,0.1147,0.0105,0.4581,0.4972,0.7156,0.0163,0.0266,0.1039
316.4446,0.4111,0.1569,0.0024,0.0606,0.2051,0.7647,0.0022,0.0805,0.0491
501.4732,0.5030,0.1566,0.0088,0.4658,0.5705,0.7971,0.0131,0.0451,0.1485
326.7072,0.3960,0.1013,0.0059,0.4690,0.5649,0.7748,0.0074,0.0277,0.0165
594.5230,0.3057,0.2134,0.0349,0.4640,0.5483,0.7956,0.0099,0.1224,0.0767
523.5308,0.3167,0.1884,0.0130,0.1131,0.4324,0.6929,0.0092,0.0257,0.0086
367.7258,0.3624,0.1698,0.0041,0.1314,0.2596,0.7384,0.0069,0.0491,0.0919
306.0915,0.5276,0.2042,0.0036,0.4979,0.5670,0.7485,0.0066,0.0661,0.0076
592.4859,0.4589,0.2418,0.0126,0.4381,0.5726,0.7536,0.0136,0.0111,0.1490
343.6652,0.3914,0.1541,0.0033,0.2302,0.5095,0.7367,0.0152,0.1201,0.0098
403.3056,0.3713,0.1059,0.0270,0.4841,0.5303,0.7821,0.0115,0.0573,0.0256
562.7754,0.5695,0.1647,0.0047,0.4963,0.5759,0.6933,0.0043,0.1147,0.1413
585.5882,0.3101,0.1290,0.0011,0.1633,0.4263,0.5850,0.0079,0.0122,0.0692
537.0636,0.3461,0.1771,0.0046,0.2290,0.5006,0.7753,0.0126,0.0747,0.0248
415.8810,0.3930,0.1379,0.0030,0.4885,0.4909,0.7437,0.0050,0.0960,0.1135
482.2182,0.6816,0.1342,0.0100,0.4477,0.5800,0.6624,0.0033,0.0016,0.0212
394.7527,0.3339,0.1968,0.0173,0.4265,0.3788,0.7770,0.0086,0.0905,0.0345
439.7835,0.3400,0.1914,0.0207,0.1344,0.5847,0.6120,0.0036,0.0274,0.0173
503.1838,0.3175,0.1477,0.0049,0.2070,0.5982,0.7609,0.0096,0.2069,0.0328
529.9851,0.3040,0.1344,0.0109,0.4005,0.5093,0.7885,0.0029,0.0938,0.1727
465.5872,0.3913,0.2171,0.0272,0.4268,0.5925,0.7472,0.0021,0.1237,0.0177
597.8177,0.5760,0.2941,0.0167,0.4173,0.5985,0.6417,0.0068,0.0209,0.0145
592.2626,0.3133,0.1859,0.0036,0.3271,0.5311,0.6181,0.0042,0.0933,0.0647
467.8569,0.3695,0.2454,0.0020,0.4204,0.5537,0.7708,0.0156,0.0101,0.1638
453.6203,0.3443,0.1290,0.0401,0.1167,0.3681,0.7038,0.0004,0.0344,0.0023
382.2849,0.3553,0.1693,0.0138,0.4682,0.4884,0.7890,0.0011,0.1135,0.1224
391.8097,0.3944,0.1099,0.0041,0.0126,0.1971,0.5832,0.0128,0.0313,0.0662
521.1896,0.3233,0.1577,0.0019,0.1267,0.3603,0.7946,0.0152,0.0212,0.0838
559.3298,0.3332,0.2730,0.0236,0.4804,0.5985,0.7712,0.0178,0.0662,0.0989
580.4553,0.7174,0.2912,0.0065,0.4613,0.5653,0.7342,0.0078,0.0770,0.0399
436.1772,0.6108,0.2587,0.0074,0.4826,0.5534,0.6411,0.0098,0.0389,0.0107
334.0882,0.3900,0.1385,0.0181,0.1697,0.2865,0.7864,0.0018,0.0291,0.0997
355.2573,0.3398,0.1973,0.0022,0.2317,0.1506,0.7650,0.0047,0.0047,0.0062
430.2675,0.3660,0.1042,0.0106,0.0598,0.5721,0.3996,0.0119,0.0042,0.0318
542.8603,0.3436,0.2273,0.0028,0.3520,0.5978,0.7025,0.0114,0.1030,0.0826
265.2899,0.4359,0.1142,0.0060,0.0082,0.5157,0.3413,0.0019,0.0031,0.0258
567.7516,0.5265,0.2627,0.0057,0.3751,0.5718,0.6585,0.0019,0.0385,0.0115
432.8835,0.3639,0.1858,0.0381,0.4046,0.5744,0.7952,0.0067,0.1038,0.0118
465.5718,0.3655,0.0929,0.0132,0.3407,0.4892,0.6850,0.0099,0.0181,0.0004
594.3700,0.3280,0.1524,0.0116,0.4342,0.5763,0.5945,0.0102,0.0850,0.0585
342.2667,0.4706,0.1410,0.0055,0.3533,0.5421,0.7429,0.0188,0.0168,0.0180
348.8376,0.3444,0.1921,0.0150,0.2902,0.4219,0.7802,0.0173,0.0217,0.0182
583.1240,0.3224,0.1036,0.0077,0.1791,0.4994,0.6639,0.0024,0.0675,0.0175
406.0995,0.3480,0.1428,0.0326,0.4999,0.4579,0.7325,0.0181,0.0036,0.0368
477.4901,0.3079,0.1884,0.0361,0.4245,0.5320,0.6745,0.0034,0.0641,0.0298
568.5972,0.3252,0.1453,0.0220,0.2596,0.4657,0.7667,0.0037,0.0146,0.0852
508.5644,0.5606,0.2017,0.0017,0.4787,0.5856,0.5128,0.0078,0.1099,0.0092
576.0475,0.4076,0.2197,0.0107,0.3216,0.5955,0.7881,0.0002,0.0196,0.1197
448.6866,0.3509,0.1199,0.0036,0.2803,0.5180,0.7853,0.0148,0.1853,0.0145
461.8009,0.3090,0.1696,0.0023,0.2019,0.4119,0.7139,0.0043,0.0992,0.0031
555.0643,0.3874,0.1574,0.0135,0.3911,0.5298,0.7151,0.0196,0.0450,0.0378
511.3463,0.3344,0.2344,0.0170,0.4661,0.4555,0.6559,0.0050,0.0234,0.0296
519.0159,0.3956,0.1599,0.0034,0.4040,0.5699,0.6148,0.0014,0.0177,0.1453
576.6120,0.3254,0.1830,0.0146,0.4160,0.5649,0.6987,0.0026,0.1982,0.0471
492.1609,0.3782,0.2054,0.0385,0.4544,0.5532,0.7128,0.0126,0.0354,0.0098
550.2787,0.3036,0.1533,0.0040,0.0821,0.2898,0.7048,0.0023,0.0572,0.0804
532.7659,0.7815,0.2831,0.0085,0.4934,0.5638,0.7564,0.0191,0.0081,0.0930
433.5042,0.4157,0.1573,0.0172,0.3516,0.4176,0.7839,0.0058,0.0159,0.0315
482.5923,0.3114,0.2079,0.0031,0.2885,0.5454,0.7392,0.0081,0.0203,0.1928
532.3256,0.3300,0.0971,0.0043,0.3850,0.4650,0.7097,0.0074,0.1172,0.0058
368.0838,0.4881,0.1622,0.0106,0.4994,0.5785,0.7171,0.0195,0.0168,0.0651
542.6863,0.4254,0.0924,0.0016,0.4396,0.5608,0.7221,0.0002,0.0741,0.0076
444.7452,0.3365,0.1660,0.0145,0.2965,0.5758,0.7968,0.0017,0.0952,0.1554
558.0993,0.3006,0.1431,0.0030,0.4073,0.5875,0.7114,0.0063,0.2736,0.0654
519.4916,0.9178,0.1837,0.0144,0.4504,0.5858,0.7186,0.0019,0.0541,0.0306
342.4507,0.3774,0.2412,0.0067,0.4413,0.5831,0.7782,0.0076,0.1207,0.0114
442.5460,0.3062,0.2113,0.0090,0.4019,0.2604,0.7627,0.0091,0.0474,0.0271
512.2085,0.6212,0.2008,0.0096,0.4987,0.5565,0.7869,0.0119,0.1030,0.0963
587.5756,0.3195,0.1566,0.0096,0.2275,0.5200,0.6818,0.0011,0.0117,0.1172
594.6708,0.3617,0.2311,0.0033,0.3990,0.4976,0.6950,0.0108,0.1198,0.0030
417.6446,0.3665,0.0896,0.0053,0.3024,0.3920,0.7909,0.0140,0.0241,0.0421
527.9913,0.3161,0.1552,0.0069,0.4588,0.4156,0.6292,0.0061,0.0980,0.0095
567.0281,0.3393,0.0991,0.0010,0.0113,0.3389,0.6564,0.0010,0.0008,0.0524
375.0443,0.3693,0.1748,0.0181,0.1358,0.5419,0.6436,0.0102,0.0391,0.0125
537.0868,0.7216,0.2840,0.0026,0.4823,0.5929,0.5422,0.0006,0.0150,0.1522
274.1744,0.4367,0.1420,0.0129,0.2509,0.4440,0.7307,0.0047,0.0254,0.0161
309.6948,0.3864,0.1927,0.0196,0.3130,0.5816,0.6977,0.0014,0.0110,0.0424
593.3614,0.3174,0.2569,0.0149,0.4906,0.5794,0.6537,0.0039,0.1799,0.0386
389.5781,0.3427,0.1597,0.0236,0.0183,0.3598,0.5922,0.0067,0.0133,0.0232
526.0607,0.3474,0.1068,0.0086,0.0699,0.5864,0.6720,0.0005,0.0097,0.0673
421.8405,0.3352,0.1682,0.0101,0.1640,0.5022,0.7642,0.0196,0.0929,0.0473
452.8200,0.6465,0.1889,0.0100,0.4235,0.5752,0.7211,0.0085,0.0203,0.0448
511.5269,0.3448,0.1568,0.0210,0.4934,0.3779,0.7585,0.0044,0.0724,0.0481
518.8532,0.4701,0.2074,0.0117,0.4314,0.4923,0.7958,0.0021,0.0391,0.0860
477.7618,0.3825,0.1402,0.0280,0.3971,0.5482,0.7438,0.0029,0.0292,0.0805
497.8703,0.3181,0.1467,0.0140,0.3444,0.5560,0.7076,0.0178,0.0276,0.1417
440.5494,0.3709,0.0884,0.0254,0.1853,0.4340,0.7542,0.0074,0.0128,0.0027
580.8780,0.4678,0.1282,0.0357,0.4927,0.5938,0.7883,0.0051,0.0294,0.0769
332.4964,0.3824,0.2041,0.0026,0.1954,0.4925,0.7225,0.0197,0.0271,0.0205
575.8635,0.3146,0.0999,0.0118,0.4717,0.5544,0.7687,0.0114,0.1407,0.0560
415.3313,0.3315,0.2090,0.0077,0.3264,0.4561,0.7348,0.0134,0.0125,0.1095
293.3961,0.4209,0.1288,0.0091,0.1111,0.2365,0.6740,0.0093,0.0834,0.0060
549.3510,0.5564,0.1771,0.0055,0.4683,0.5589,0.7036,0.0007,0.0196,0.1997
447.5019,0.3882,0.2256,0.0139,0.4633,0.5959,0.5837,0.0117,0.0117,0.0332
487.9352,0.3661,0.1489,0.0030,0.1611,0.2648,0.6974,0.0004,0.0012,0.0333
353.6975,0.4053,0.1418,0.0247,0.0168,0.5557,0.7790,0.0004,0.0398,0.0217
429.0307,0.3801,0.2192,0.0038,0.4605,0.5091,0.7471,0.0099,0.0381,0.1374
545.5150,0.3374,0.1402,0.0134,0.3184,0.4968,0.6680,0.0054,0.0187,0.0854
358.1098,0.4153,0.1634,0.0047,0.0115,0.1774,0.4558,0.0093,0.0115,0.0095
447.1841,0.4096,0.1714,0.0388,0.4354,0.5603,0.7889,0.0083,0.0492,0.0292
468.9167,0.3176,0.2219,0.0307,0.4975,0.4381,0.7635,0.0056,0.0623,0.0397
493.5633,0.3195,0.1310,0.0043,0.2880,0.3024,0.7807,0.0043,0.1233,0.0328
492.2477,0.3219,0.1760,0.0252,0.3936,0.4869,0.7466,0.0066,0.0192,0.1329
541.6521,0.4050,0.1255,0.0075,0.4555,0.3510,0.7760,0.0095,0.0149,0.0128
597.0090,0.3441,0.2426,0.0047,0.4572,0.5393,0.5452,0.0067,0.0039,0.0928
485.9623,0.4984,0.2204,0.0209,0.4013,0.5953,0.7041,0.0028,0.0379,0.0386
399.3459,0.4188,0.1881,0.0146,0.4969,0.5369,0.7953,0.0039,0.0205,0.1871
477.5818,0.3615,0.1944,0.0031,0.4855,0.5749,0.5661,0.0169,0.0668,0.0248
429.2757,0.3419,0.1759,0.0087,0.0092,0.4176,0.4361,0.0184,0.0354,0.0236
572.3891,0.5953,0.2082,0.0190,0.4890,0.5458,0.7216,0.0055,0.0395,0.1092
501.1845,0.5378,0.2342,0.0048,0.4932,0.4919,0.6173,0.0137,0.0103,0.0284
420.5516,0.3542,0.1269,0.0111,0.2871,0.5962,0.7082,0.0156,0.0462,0.1043
394.7896,0.3776,0.1102,0.0327,0.3314,0.3080,0.7901,0.0100,0.0114,0.0078
463.0480,0.3020,0.2028,0.0084,0.3522,0.3893,0.6483,0.0010,0.0220,0.0427
555.1379,0.3312,0.1595,0.0493,0.4568,0.5728,0.7443,0.0012,0.0470,0.0835
449.3914,0.3047,0.2484,0.0211,0.2090,0.5441,0.7511,0.0048,0.0460,0.0141
274.9100,0.4600,0.1051,0.0065,0.2663,0.5286,0.7827,0.0056,0.0449,0.0208
536.7860,0.3330,0.1315,0.0090,0.2016,0.5792,0.6431,0.0133,0.0205,0.0682
489.8504,0.8900,0.2150,0.0034,0.4750,0.5814,0.7046,0.0068,0.0365,0.1290
481.8228,0.7136,0.1824,0.0051,0.4829,0.5023,0.7480,0.0026,0.0552,0.0426
374.7701,0.4024,0.0969,0.0124,0.3405,0.2722,0.7984,0.0060,0.0547,0.0089
342.4076,0.4169,0.1154,0.0337,0.2911,0.4990,0.7165,0.0004,0.0001,0.0068
350.9054,0.4231,0.1049,0.0181,0.0014,0.3543,0.7348,0.0099,0.0211,0.0273
429.6547,0.3623,0.2487,0.0096,0.4451,0.4634,0.7049,0.0004,0.0228,0.0522
592.3292,0.3659,0.1384,0.0115,0.3544,0.5472,0.7964,0.0048,0.1146,0.0678
380.2230,0.3526,0.1688,0.0280,0.0042,0.1426,0.4454,0.0147,0.0547,0.0011
439.8276,0.3504,0.1139,0.0190,0.1695,0.4758,0.6812,0.0029,0.0669,0.0302
529.8018,0.3813,0.1826,0.0027,0.4357,0.5566,0.6260,0.0036,0.1480,0.0509
416.0532,0.3001,0.2423,0.0011,0.3422,0.5319,0.7790,0.0163,0.0672,0.0275
