cross_section,f_B,Ti_keV,PF_over_PB
TB,0.1500,425.0,1.19218
TB,0.1500,450.0,1.18532
TB,0.1500,475.0,1.17747
TB,0.1500,500.0,1.16903
TB,0.1500,525.0,1.16028
TB,0.1500,550.0,1.15139
TB,0.1500,575.0,1.14246
TB,0.1500,600.0,1.13331
TB,0.1625,150.0,0.71515
TB,0.1625,175.0,0.86201
TB,0.1625,200.0,0.97131
TB,0.1625,225.0,1.05251
TB,0.1625,250.0,1.10814
TB,0.1625,275.0,1.14547
TB,0.1625,300.0,1.16898
TB,0.1625,325.0,1.18241
TB,0.1625,350.0,1.18861
TB,0.1625,375.0,1.19000
TB,0.1625,400.0,1.18756
TB,0.1625,425.0,1.18271
TB,0.1625,450.0,1.17628
TB,0.1625,475.0,1.16884
TB,0.1625,500.0,1.16080
TB,0.1625,525.0,1.15241
TB,0.1625,550.0,1.14386
TB,0.1625,575.0,1.13526
TB,0.1625,600.0,1.12668
TB,0.1750,150.0,0.70321
TB,0.1750,175.0,0.84840
TB,0.1750,200.0,0.95676
TB,0.1750,225.0,1.03674
TB,0.1750,250.0,1.09297
TB,0.1750,275.0,1.13039
TB,0.1750,300.0,1.15415
TB,0.1750,325.0,1.16792
TB,0.1750,350.0,1.17452
TB,0.1750,375.0,1.17603
TB,0.1750,400.0,1.17428
TB,0.1750,425.0,1.16985
TB,0.1750,450.0,1.16383
TB,0.1750,475.0,1.15679
TB,0.1750,500.0,1.14912
TB,0.1750,525.0,1.14109
TB,0.1750,550.0,1.13288
TB,0.1750,575.0,1.12461
TB,0.1750,600.0,1.11633
TB,0.1875,150.0,0.69007
TB,0.1875,175.0,0.83326
TB,0.1875,200.0,0.94042
TB,0.1875,225.0,1.01970
TB,0.1875,250.0,1.07561
TB,0.1875,275.0,1.11300
TB,0.1875,300.0,1.13690
TB,0.1875,325.0,1.15093
TB,0.1875,350.0,1.15785
TB,0.1875,375.0,1.15974
TB,0.1875,400.0,1.15835
TB,0.1875,425.0,1.15431
TB,0.1875,450.0,1.14868
TB,0.1875,475.0,1.14201
TB,0.1875,500.0,1.13470
TB,0.1875,525.0,1.12702
TB,0.1875,550.0,1.11915
TB,0.1875,575.0,1.11119
TB,0.1875,600.0,1.10322
TB,0.2000,150.0,0.67603
TB,0.2000,175.0,0.81696
TB,0.2000,200.0,0.92271
TB,0.2000,225.0,1.00112
TB,0.2000,250.0,1.05657
TB,0.2000,275.0,1.09382
TB,0.2000,300.0,1.11777
TB,0.2000,325.0,1.13199
TB,0.2000,350.0,1.13918
TB,0.2000,375.0,1.14139
TB,0.2000,400.0,1.14011
TB,0.2000,425.0,1.13666
TB,0.2000,450.0,1.13139
TB,0.2000,475.0,1.12508
TB,0.2000,500.0,1.11812
TB,0.2000,525.0,1.11077
TB,0.2000,550.0,1.10322
TB,0.2000,575.0,1.09557
TB,0.2000,600.0,1.08790
TB,0.2125,150.0,0.66135
TB,0.2125,175.0,0.79981
