cross_section,p_star_ignition_threshold,frac_box_sub_ignition,"peak_at_nominal(0.05,1.0)","peak_at_conservative(0.01,0.5)",thermal_only_peak,"putvinski_only_peak(no_Rmatrix,n_a=0.05)"
TB,0.00000,0.0000,1.4972,1.1412,1.2000,1.1708
wang,0.01332,0.1889,1.2565,0.9566,1.0093,0.9786
